"V1","V2","V3","V4","V5","V6"
"Hubei","1.0973","1.0809","1.1139","34726","33402"
"Henan","0.8531","0.7628","0.9539","581","695"
"Zhejiang","0.9736","0.8706","1.0886","608","660"
"Guangdong","1.0028","0.9075","1.1079","761","827"
"Hunan","0.9955","0.8786","1.1278","494","525"
"Anhui","0.8884","0.7824","1.0085","458","533"
"Jiangxi","0.9648","0.8468","1.0991","445","492"
"Shandong","0.4905","0.4208","0.5705","255","532"
"Jiangsu","0.8522","0.7281","0.9969","298","355"
"Chongqing","0.9282","0.7856","1.0963","275","304"
"Sichuan","0.9102","0.7682","1.0779","263","298"
"Others","0.9618","0.9099","1.0167","2416","2655"
