"V1","V2","V3","V4","V5","V6"
"Hubei","0.5466","0.5132","0.5822","1635","2877"
"Henan","0.4488","0.1429","1.2173","6","16"
"Zhejiang","0","0","0","1","0"
"Guangdong","0","0","0","0","8"
"Hunan","1.0627","0.0768","14.7084","2","2"
"Anhui","0.233","0.0049","2.0933","1","5"
"Jiangxi","0","0","0","1","0"
"Shandong","2.7778","0.4662","19.1027","4","3"
"Jiangsu","0","0","0","0","0"
"Chongqing","2.208","0.3137","24.588","4","2"
"Sichuan","2.263","0.1172","134.033","2","1"
"Others","0.723","0.417","1.2335","25","38"
